TRANSACTION_DATE;SETTLEMENT_DATE;MONEY_RELEASE_DATE;SOURCE_ID;PAYMENT_METHOD_TYPE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;BUSINESS_UNIT;SUB_UNIT;PAYMENT_METHOD;TAX_DETAIL;STORE_ID;PAY_BANK_TRANSFER_ID;USER_ID;TRANSACTION_CURRENCY
2026-02-17T18:22:15.000-04:00;2026-02-17T18:22:15.000-04:00;2026-02-17T18:22:15.000-04:00;146676949474;available_money;SETTLEMENT;-500000.00;;;available_money;;;;75592789;ARS
2026-02-16T22:35:31.000-04:00;2026-02-17T10:37:09.000-04:00;2026-03-16T22:41:57.000-04:00;145890010473;credit_card;REFUND;35070.00;Mercado Libre;;master;;;;75592789;ARS
2026-02-13T21:08:43.000-04:00;2026-02-16T22:54:33.000-04:00;2026-02-16T22:54:33.000-04:00;145512060875;available_money;SETTLEMENT;-5478.40;;;available_money;;;;75592789;ARS
2026-02-15T11:45:32.000-04:00;2026-02-15T11:45:33.000-04:00;2026-02-15T11:45:33.000-04:00;146394575106;available_money;SETTLEMENT;-149502.00;;;available_money;;;;75592789;ARS
2026-02-15T11:44:56.000-04:00;2026-02-15T11:44:56.000-04:00;2026-02-15T11:44:56.000-04:00;145700451957;available_money;SETTLEMENT;-11000.00;;;available_money;;;;75592789;ARS
2026-02-14T20:02:01.000-04:00;2026-02-14T22:19:41.000-04:00;2026-02-14T22:19:37.000-04:00;145640692497;available_money;REFUND;6335.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-14T20:02:01.000-04:00;2026-02-14T20:02:02.000-04:00;2026-02-14T22:19:37.000-04:00;145640692497;available_money;SETTLEMENT;-6335.00;Mercado Pago;Checkouts;available_money;;;;75592789;ARS
2026-02-14T13:17:48.000-04:00;2026-02-14T13:48:09.000-04:00;2026-03-14T13:17:48.000-04:00;145586270783;available_money;REFUND;10390.99;Mercado Libre;;available_money;;;;75592789;ARS
2026-02-14T13:46:10.000-04:00;2026-02-14T13:46:10.000-04:00;2026-02-14T13:46:10.000-04:00;146283212572;available_money;SETTLEMENT;-43100.00;Mercado Pago;QR;available_money;;;;75592789;ARS
2026-02-14T13:34:05.000-04:00;2026-02-14T13:34:06.000-04:00;2026-02-14T13:34:06.000-04:00;146281824482;available_money;SETTLEMENT;-5621.67;Mercado Pago;QR;available_money;;;;75592789;ARS
